concept,variant_or_exact_phrase,frequency,appears_in_courses,appears_in_sections,example_course_uid,example_text_exact,notes
våld i nära relation,våld i nära relation,9,OMA041_v01;OMA042_v01;OMA043_v01;OMG402_v01,course_content;learning_outcomes,OMA041_v01,"--- OCR page 3 --- + hälsofrämjande omvårdnad vid folksjukdomar och olika komplexa och långvariga sjukdomstillstånd + klass, genus och etnicitet I omvårdnad och folkhälsoarbete + jämställdhet i relation till hälsa + relevanta författningar + folksjukdomar och olika komplexa och långvariga sjukdomstillstånd + psykisk ohälsa > åldres ohälsa + evidensbaserad omvårdnad + bedömning och prioritering av vårdbehov inom primärvård och hemsjukvård + etiskt förhållningssätt i mötet med patienter, närstående och + familjefokuserad omvårdnad vid olika komplexa och långvariga sjukdomstillstånd samt vård i livets slutskede för vuxna och äldre + delegering > mäns våld mot kvinnor och våld i nära relation + verksamhetsförlagd utbildning (VFU) inklusive fältstudier inom hemsjukvård och primärvård",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
vård på distans,vård på distans,9,OMA041_v01;OMA042_v01,course_content;learning_outcomes,OMA041_v01,"8. visa förmåga att observera, medverka vid och självständigt genomföra bedömning, rådgivning och beslutsfattande vid vård på distans",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
katastrofmedicin,katastrofmedicin,8,OMA405_v01;OMA406_v01;OMG403_v01,course_content;learning_outcomes,OMA406_v01,Kursens innehåll information och undervisning obstetrisk anestesisjukvård pediatrisk anestesisjukvård anestesisjukvård vid specifika sjukdomstillstånd etiska problem och dilemman organdonation vård i livets slutskede samverkan och teamsamarbete organisatorisk och social arbetsmiljö katastrofmedicin och särskilda händelser icke-tekniska färdigheter verksamhetsförlagd utbildning inom anestesisjukvård,Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
organdonation,organdonation,8,OMA405_v01;OMA406_v01,course_content;examination,OMA406_v01,Kursens innehåll information och undervisning obstetrisk anestesisjukvård pediatrisk anestesisjukvård anestesisjukvård vid specifika sjukdomstillstånd etiska problem och dilemman organdonation vård i livets slutskede samverkan och teamsamarbete organisatorisk och social arbetsmiljö katastrofmedicin och särskilda händelser icke-tekniska färdigheter verksamhetsförlagd utbildning inom anestesisjukvård,Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
telefonrådgivning,telefonrådgivning,7,OMA041_v01;OMA042_v01;OMG402_v01,course_content;learning_outcomes,OMA041_v01,"Kursens innehåll + hälsofrämjande och förebyggande folkhälsoarbete + nationella och internationella strategier i hälsoarbete (miljö, hälso- och smittskyda) + modeller och metoder för folkhälsoarbete bland vuxna och äldre + hälso- och sjukvårdsrådgivning, telefonrådgivning och vård på distans bese dodung soocsievylaousiearas OMADE INvald Fam 2022 09.02",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
abcde,abcde,6,OMG403_v01;OMG520_v01,course_content;learning_outcomes,OMG520_v01,4. på ett systematiskt sätt tillimpa ABCDE-principer för Omhändertagande vid akuta tillstånd hos personer i olika åldrar bese dodung soocsievylsousiearss OM GE20N vals rom 2023-01-16,Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
omvårdnadsplan,omvårdnadsplan,6,OMA041_v01;OMA405_v01;OMA406_v01,learning_outcomes,OMA406_v01,"6. självständigt utifrån omvårdnadsprocessen utforma en personcentrerad omvårdnadsplan, dokumentera och utvärdera genomförda omvårdnadsåtgärder inför och under operativa ingrepp, vid vård av kritiskt sjuka patienter för att möta lidande och främja välbefinnandet",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
opponering,opponering,6,OMA709_v01;OMA716_v01;OMA717_v01,course_content,OMA717_v01,Kursens innehåll Examensarbete i omvårdnad inom anestesisjuksköterskans kunskapsområde innefattande; + litteratursökning + vetenskapsmetodik + forskningsetik + vetenskapsteori + opponering på och försvar av vetenskapligt arbete + forskningsprocess,Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
pediatrisk,pediatrisk,6,OMA405_v01;OMA406_v01;OMG402_v01,course_content,OMA406_v01,Kursens innehåll information och undervisning obstetrisk anestesisjukvård pediatrisk anestesisjukvård anestesisjukvård vid specifika sjukdomstillstånd etiska problem och dilemman organdonation vård i livets slutskede samverkan och teamsamarbete organisatorisk och social arbetsmiljö katastrofmedicin och särskilda händelser icke-tekniska färdigheter verksamhetsförlagd utbildning inom anestesisjukvård,Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
välfärdsteknik,välfärdsteknik,5,OMA131_v01,course_content;learning_outcomes,OMA131_v01,"7. beskriva och kritiskt diskutera fördelar, risker och etiska aspekter med användning av välfärdsteknik inom vård och omsorg för äldre personer, utifrån ett individ, anhörig- och vårdpersonalperspektiv + teorier om åldrandet + begrepp inom gerontologi samhällsnivå ifrån individ-, organisation- och + att åldras i ett livsloppsperspektiv + prevention och hälsopromotion + klinisk bedömning av äldre personers hälsotillstånd i olika Uvssituationer dialog med den äldre och närstående om den äldres hälsotillstånd",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
antibiotikaresistens,antibiotikaresistens,4,OMA071_v01;OMA081_v01,course_content,OMA071_v01,"--- OCR page 3 --- + medicinsk teknik, gas- och ellära + anestesisjuksköterskans kompetens- och ansvarsområde + personcentrerad omvårdnad under den perioperativa vården + omhändertagande vid akuta tillstånd/sjukdomar + vårdhygien, vårdrelaterade infektioner och antibiotikaresistens + klinisk färdighetsträning i A-E och luftvägshantering + etiologi, patofysiologi, diagnostik och behandling vid specifika sjukdomstillstånd + specifik farmakologi + vätske, blod- och elektrolytbalans + kommunikation, information och undervisning + mänskliga rättigheter relaterat till FN:s allmänna förklaring + samverka och samarbeta i vårdteamet + fältstudie inom anestesisjukvård + verksamhetsförlagd utbildning inom anestesivård",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
dokumentation,dokumentation,4,OMG520_v01;OMG551_v01,course_content,OMG520_v01,"-omvårdnadsprocessen rapportering och dokumentation författningar patientsäker läkemedelshantering, undersökning och behandling",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
fass,fass,4,MVG501_v01,course_content;learning_outcomes,MVG501_v01,7. tillämpa relevant information från FASS (Farmaceutiska specialiteter i Sverige) och författningar om läkemedel och dess hantering,Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
förbättringskunskap,förbättringskunskap,4,MVG201_v01;OMG551_v01,course_content,MVG201_v01,"Kursens innehåll mänskliga rättigheter människosyn värdegrund för omvårdnad de fyra centrala principerna för medicinsk etik förhållningssätt, bemötande, empati och självkännedom organisation av hälso- och sjukvård samt vård- och omsorg i Sverige 2026-03-18 11:38 MVG201 https://edu.hig.se/docs/sv/syllabus/course/MVG201?valid-from=2024-09-02 2/6 relevanta författningar vad som utmärker ett vetenskapligt förhållningssätt samt en vetenskaplig artikel kvalitativ samt kvantitativ forskningsansats forsknings- och forskaretik, referenshantering utvecklingspsykologi cellbiologi vävnads- och organtyper nervsystemet sinnena rörelseapparaten cirkulationssystemet virus och bakteriers påverkan på människans hälsa och ohälsa immunologi vårdhygien: betydelse för att förhindra smittspridning och uppkomst av vårdrelaterade infektioner samt basala hygienrutiner och klädregler läkemedels och engångsmaterials påverkan på miljö farmakologi evidensbegreppet grundläggande omvårdnadsbehov vanligt förekommande ",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
informatik,informatik,4,MVG201_v01;OMG402_v01,course_content,MVG201_v01,"Kursens innehåll mänskliga rättigheter människosyn värdegrund för omvårdnad de fyra centrala principerna för medicinsk etik förhållningssätt, bemötande, empati och självkännedom organisation av hälso- och sjukvård samt vård- och omsorg i Sverige 2026-03-18 11:38 MVG201 https://edu.hig.se/docs/sv/syllabus/course/MVG201?valid-from=2024-09-02 2/6 relevanta författningar vad som utmärker ett vetenskapligt förhållningssätt samt en vetenskaplig artikel kvalitativ samt kvantitativ forskningsansats forsknings- och forskaretik, referenshantering utvecklingspsykologi cellbiologi vävnads- och organtyper nervsystemet sinnena rörelseapparaten cirkulationssystemet virus och bakteriers påverkan på människans hälsa och ohälsa immunologi vårdhygien: betydelse för att förhindra smittspridning och uppkomst av vårdrelaterade infektioner samt basala hygienrutiner och klädregler läkemedels och engångsmaterials påverkan på miljö farmakologi evidensbegreppet grundläggande omvårdnadsbehov vanligt förekommande ",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
kvalitetsutveckling,kvalitetsutveckling,4,MVG201_v01;OMA042_v01,course_content;learning_outcomes,OMA042_v01,"1. identifiera och värdera utvecklingsbehov inom distriktssköterskans ansvarsområde samt föreslå, motivera och diskutera förändringsprocesser för kvalitetsutveckling utifrån evidensbaserade arbetssätt 2visa förståelse för ledning och kommunikation i vård- och hälsoarbetet i diskussioner 3.beskriva, analysera, planera och värdera ledning och kommunikation inom distriktssköterskans ansvarsområde bese dodung soMocsievylaousiarasOMADEZNvald-Fam2026 09.02",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
patientsäker,patientsäker,4,OMG520_v01;OMG551_v01,course_content,OMG520_v01,"-omvårdnadsprocessen rapportering och dokumentation författningar patientsäker läkemedelshantering, undersökning och behandling",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
patientsäkerhet,patientsäkerhet,4,MVG501_v01;OMG551_v01,learning_outcomes,MVG501_v01,10. tillämpa grundläggande hyglenprinciper för att uppnå patientsäkerhet,Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
sbar,sbar,4,OMG520_v01,course_content;learning_outcomes,OMG520_v01,"6. på ett systematiskt sätt rapportera enligt SBAR (Situation, Bakgrund, Aktuell bedömning, Rekommendation)",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
digitala tjänster,digitala tjänster,2,OMG402_v01,course_content,OMG402_v01,- författningar relaterade till klinisk färdighetsträning samt digitala tjänster,Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
e-hälsa,e-hälsa,2,OMG402_v01,course_content,OMG402_v01,"- informatik, e-Hälsa, nationellt fackspråk, vård och omvårdnad på distans samt intelligenta miljöer",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
